,X,Season_playerid,PA,X1B,X2B,HR,R,RBI,BB,IBB,SO,GDP,SB,CS,AVG,BB.,K.,BB.K,OBP,SLG,ISO,BABIP,wRC,WAR,Spd,wRC.,WPA,SAC
1,1,2002 _ 1109,0.144057523,-1.843686154,0.52585231,2.740104133,2.694211923,1.654767812,6.674700649,12.08254099,1.144873912,1.618129369,-0.186344114,0.710147847,3.377959751,32.40%,7.70%,7.066833324,6.454955188,4.877094871,4.321395684,1.005721922,4.407029325,4.665165223,-0.235921819,5.273239637,4.610513019,-1.338152179
2,2,2004 _ 1109,0.214406064,-2.444158447,-0.05616496,2.610025679,3.445514273,1.213030881,8.185402411,21.93756979,1.33633544,1.430310873,-0.421427708,0.94402839,3.087913601,37.60%,6.60%,10.04889649,7.194653432,5.05218025,4.65882719,0.358221246,4.407029325,4.284221558,-0.174810568,4.836033823,5.856631571,-1.12358047
3,3,2001 _ 1109,0.875682343,-3.265946505,0.318084248,4.768786187,2.824354659,2.386809983,5.035057003,5.179834317,-0.025766428,1.499028453,0.04359656,0.532653509,1.855217463,26.70%,14.00%,2.316098217,4.619407696,5.73905366,6.04068955,-1.066280243,5.092221023,4.569929307,-0.113699316,4.915525789,5.157827834,-1.372597195
4,4,1957 _ 1014040,-0.784543209,0.309653159,0.578913076,2.415391833,2.049831724,1.093129735,3.635635504,6.093341548,1.108657253,-0.012403766,-0.880346877,0.914104308,4.030563588,21.80%,7.90%,4.105336115,4.920766239,3.961263657,2.939533324,2.203598174,2.865348005,3.236626481,-1.641480605,4.438573992,NA,-1.284985146
5,5,1954 _ 1014040,-1.06593737,-0.522065555,-0.059026634,1.571633713,2.091045234,1.364639772,4.80446227,NA,1.440220276,0.123581687,-0.880346877,1.174148794,2.471565532,25.90%,6.10%,7.149097136,4.564615233,2.668325472,2.087920475,0.584846482,2.137331826,2.617593026,-1.580369353,3.802638263,NA,-1.010365385
6,6,2003 _ 1109,-0.728264376,-1.71041961,-0.373633804,3.128311495,3.140875312,1.211408126,5.107727085,12.05866291,0.614590744,0.876414747,-0.279719031,1.174148794,2.326542457,26.90%,10.50%,3.652885152,5.002954933,4.203689566,3.983964178,0.163971042,2.865348005,3.474716271,-0.235921819,4.001368179,3.379054685,-1.288570626
7,7,1994 _ 255,-1.192564742,-1.242701887,1.801630189,2.64312604,3.275643203,2.084830537,3.430777825,1.69303648,0.382659553,-1.074663945,-0.697785222,0.35025543,2.761611682,21.10%,11.80%,2.089872736,3.852313221,3.934327445,3.469782835,1.199972125,2.437103194,1.950941613,-1.030368089,3.723146297,1.859278725,0.044312205
8,8,1957 _ 1008082,0.298824312,0.054356053,0.043774379,1.539057007,2.822020982,0.860250804,4.107732427,3.313191977,0.338307532,1.439660651,0.331651527,0.490436324,3.196680907,23.40%,12.00%,2.418927982,4.537219002,3.072368655,2.248602145,2.559723547,3.250768335,4.046131768,0.986303212,4.200098094,NA,-1.129882955
9,9,1956 _ 1008082,0.706845846,0.006645465,-0.901970598,3.007932339,3.167561925,2.195756359,2.306677087,0.037295399,-0.243752727,1.666166184,-0.156540315,0.956381479,2.761611682,17.20%,15.20%,0.732519848,3.222199903,3.611092898,3.100214994,1.717972667,3.550539703,4.093749726,0.741858206,3.603908348,NA,-0.745857202
10,10,1998 _ 1008559,1.11486738,-2.712973329,-1.147268194,4.351705219,2.682428914,2.649312733,4.209500512,3.809365221,-1.645755541,0.993798908,-0.81104851,1.174148794,0.803800169,23.80%,22.80%,0.567992226,3.386577291,4.244093885,4.723099858,-0.4511546,4.064433477,2.665210984,-1.641480605,3.723146297,4.033877767,-0.987445653
11,11,1996 _ 1008559,-0.756403792,-2.079007695,-0.515378089,3.89088697,2.635640907,2.383480513,3.455161302,2.400590051,-1.215956019,-0.65942926,-0.880346877,1.174148794,1.275125163,21.20%,20.40%,0.547426273,3.304388597,3.947795551,4.144645847,0.293471178,2.608401119,2.093795487,-1.885925611,3.126956551,2.079181999,-1.532386485
12,12,1997 _ 455,0.875682343,-0.099235367,2.098240999,2.660289017,3.709325259,2.096540762,0.743423637,1.441692309,0.057837729,-0.30517354,1.465048002,-0.536505299,3.232936676,11.70%,13.60%,0.197805075,2.893445128,3.81311449,3.116283161,2.203598174,3.721837628,2.950918732,1.352970721,2.610258771,2.724231603,-0.967205851
13,13,1994 _ 547,-1.727213649,-0.438053626,1.88959155,3.105061602,3.783094803,3.373794589,1.268146655,2.404192339,0.054928746,-0.600098417,0.597487816,-0.011523771,3.305448213,13.60%,13.60%,0.465162462,2.866048897,4.217157672,3.582260003,1.750347701,1.794735977,2.331885277,0.802969457,3.723146297,2.303972013,1.031822033
14,14,1961 _ 1002043,0.988240007,0.510230864,-0.986758541,1.914575484,2.102682205,2.114312347,2.673523299,2.291462686,0.225377805,-0.451227987,-0.107855707,0.117718067,3.051657832,18.50%,12.60%,1.411196292,3.852313221,3.031964337,2.264670312,2.300723276,3.721837628,3.474716271,0.619635703,3.285940483,NA,-0.976858025
15,15,1999 _ 455,-1.248843575,0.910964005,0.528272625,2.562844662,3.506380873,2.878190265,0.560391013,0.792817756,0.690274112,-0.401186629,0.131571381,0.067058816,3.70426167,11.10%,10.10%,0.67082199,3.057822516,3.678433429,2.746715321,2.074098039,2.137331826,0.855728577,0.802969457,2.21279894,2.035201345,-0.203837353
16,16,1951 _ 1006923,0.960100591,-1.406094516,0.155630711,2.012267063,2.4380999,1.185256326,3.247879303,NA,0.991708639,0.613084489,-0.739474674,0.962231944,1.166357857,20.40%,8.50%,3.34439586,2.893445128,2.560580624,2.53782915,-0.548279702,3.079470411,2.236649361,-0.174810568,2.689750737,NA,NA
17,17,1980 _ 1001400,-1.220704158,1.565183908,1.659250888,1.073969018,1.760548807,3.014612788,0.60386243,2.621721603,1.775483778,-0.157684406,0.494182867,-0.480037105,4.103075126,11.30%,4.30%,3.837978728,2.948237591,3.058900549,1.830829803,2.235973208,1.666262534,2.950918732,1.230748218,3.444924416,2.475007892,0.051389101
18,18,1961 _ 1008082,0.622427597,-1.132419811,-1.659692735,3.231748325,3.246486809,2.161501499,2.976409719,0.596297964,-0.642228452,2.030234675,-0.003711808,0.954358872,1.456404007,19.50%,17.30%,0.732519848,2.783860203,3.368666989,3.373373833,0.325846212,3.207943854,3.522334229,1.047414463,3.365432449,NA,-0.527927304
19,19,2000 _ 210,-0.981519121,-0.582178657,1.645075424,2.522232654,1.928452628,3.020039615,2.015236001,0.94916232,-1.503611336,0.374454429,-0.791639757,0.907261032,2.689100145,16.20%,22.00%,-0.069552312,3.030426285,3.50334805,2.987737825,3.369099393,2.222980788,0.903346535,-0.969256838,2.769242703,2.015654387,-0.766034206
20,20,1994 _ 1000802,-1.71314394,-0.449332876,2.405529962,2.730572256,2.539899823,2.499462085,0.840238262,1.165781828,-0.171144768,1.153223071,0.004506646,-0.600654827,2.906634757,12.10%,14.80%,0.09497531,2.509897891,3.732305853,3.164487662,1.944597904,1.623438053,1.141436326,0.008523187,2.967972619,1.497660008,-0.376010139
21,21,2000 _ 432,1.339982709,-0.170490154,3.396051526,1.870610946,2.980253866,2.512876898,1.615769036,2.680333338,0.946496739,0.338592652,-0.541808944,0.563025596,3.450471288,14.80%,8.80%,1.884213208,3.194803672,3.516816156,2.666374486,1.879847836,3.978784514,2.569975068,-0.419255574,2.014069025,3.809087754,0.153000362
22,22,1951 _ 1009405,1.072658255,0.919125378,-0.014991857,1.108719135,2.3464407,1.091790919,1.522697608,NA,1.474258203,1.340961199,-0.601926889,0.127067012,2.83412322,14.50%,5.90%,3.447225624,2.811256435,2.385495244,1.605875466,1.394222328,3.079470411,2.712828942,0.375190696,2.72949672,NA,NA
